table_name,column_name,target_type,format_string,is_active
merchant_reference,merchant_id,STRING,,True
merchant_reference,merchant_name,STRING,,True
merchant_reference,mcc_code,STRING,,True
merchant_reference,mcc_description,STRING,,True
merchant_reference,category_group,STRING,,True
merchant_reference,merchant_city,STRING,,True
merchant_reference,merchant_state,STRING,,True
merchant_reference,merchant_country,STRING,,True
merchant_reference,merchant_lat,DECIMAL,,True
merchant_reference,merchant_lon,DECIMAL,,True
merchant_reference,is_high_risk_mcc,BOOLEAN,,True
market_rates,rate_date,DATE,yyyy-MM-dd,True
market_rates,rate_type,STRING,,True
market_rates,rate_value,DECIMAL,,True
market_rates,change_from_previous,DECIMAL,,True
market_rates,rba_decision,STRING,,True
customer_master,customer_id,STRING,,True
customer_master,customer_type,STRING,,True
customer_master,first_name,STRING,,True
customer_master,last_name,STRING,,True
customer_master,date_of_birth,DATE,yyyy-MM-dd,True
customer_master,gender,STRING,,True
customer_master,state,STRING,,True
customer_master,postcode,STRING,,True
customer_master,occupation_code,INTEGER,,True
customer_master,income_band,STRING,,True
customer_master,customer_since_date,DATE,yyyy-MM-dd,True
customer_master,kyc_status,STRING,,True
customer_master,preferred_channel,STRING,,True
customer_master,nps_score,INTEGER,,True
customer_master,segment_code,STRING,,True
customer_master,relationship_manager_id,STRING,,True
customer_master,marketing_consent,BOOLEAN,,True
customer_master,created_at,TIMESTAMP,yyyy-MM-dd HH:mm:ss,True
customer_master,updated_at,TIMESTAMP,yyyy-MM-dd HH:mm:ss,True
customer_master,is_churn,BOOLEAN,,True
account_master,account_id,STRING,,True
account_master,customer_id,STRING,,True
account_master,account_type,STRING,,True
account_master,product_code,STRING,,True
account_master,open_date,DATE,yyyy-MM-dd,True
account_master,close_date,DATE,yyyy-MM-dd,True
account_master,account_status,STRING,,True
account_master,currency_code,STRING,,True
account_master,current_balance,DECIMAL,,True
account_master,available_balance,DECIMAL,,True
account_master,credit_limit,DECIMAL,,True
account_master,interest_rate,DECIMAL,,True
account_master,branch_code,STRING,,True
account_master,is_primary_account,BOOLEAN,,True
account_master,last_transaction_date,DATE,yyyy-MM-dd,True
account_master,overdraft_limit,DECIMAL,,True
account_master,created_at,TIMESTAMP,yyyy-MM-dd HH:mm:ss,True
account_master,updated_at,TIMESTAMP,yyyy-MM-dd HH:mm:ss,True
loan_master,loan_id,STRING,,True
loan_master,account_id,STRING,,True
loan_master,customer_id,STRING,,True
loan_master,loan_type,STRING,,True
loan_master,loan_purpose,STRING,,True
loan_master,origination_date,DATE,yyyy-MM-dd,True
loan_master,maturity_date,DATE,yyyy-MM-dd,True
loan_master,original_principal,DECIMAL,,True
loan_master,outstanding_balance,DECIMAL,,True
loan_master,interest_rate_type,STRING,,True
loan_master,interest_rate,DECIMAL,,True
loan_master,repayment_type,STRING,,True
loan_master,repayment_frequency,STRING,,True
loan_master,monthly_repayment,DECIMAL,,True
loan_master,arrears_days,INTEGER,,True
loan_master,arrears_amount,DECIMAL,,True
loan_master,lvr,DECIMAL,,True
loan_master,property_state,STRING,,True
loan_master,fixed_rate_expiry,DATE,yyyy-MM-dd,True
loan_master,offset_account_id,STRING,,True
product_holdings,holding_id,STRING,,True
